ENTIDAD FEDERATIVA,FACULTAD O ESCUELA DE MEDICINA,SUSTENTANTES,SELECCIONADOS,PROMEDIO GENERAL,AGNO
JALISCO,UNIVERSIDAD DE GUADALAJARA UNIDAD LOS ALTOS,100,32,62.707,2015
JALISCO,UNIVERSIDAD DEL VALLE DE ATEMAJAC,16,1,57.889,2015
JALISCO,UNIVERSIDAD DEL VALLE DE MEXICO UNIDAD JALISCO,5,0,59.778,2015
JALISCO,UNIVERSIDAD DEL VALLE DE MEXICO UNIDAD ZAPOPAN,6,2,60.148,2015
JALISCO,UNIVERSIDAD GUADALAJARA LAMAR,87,15,59.512,2015
JALISCO,UNIVERSIDAD GUADALAJARA LAMAR UNIDAD INGLATERRA,16,2,58.597,2015
MICHOACAN,UNIVERSIDAD MICHOACANA DE SAN NICOLAS DE HIDALGO UNIDAD MORELIA,2245,343,57.044,2015
MICHOACAN,UNIVERSIDAD MICHOACANA DE SAN NICOLAS DE HIDALGO UNIDAD ZAMORA,84,19,59.738,2015
MORELOS,UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,202,53,62.736,2015
MORELOS,UNIVERSIDAD LATINOAMERICANA,127,22,57.339,2015
NAYARIT,INSTITUTO DE ESTUDIOS TECNOLOGICOS Y SUPERIORES DE MATATIPAC,1,0,65.333,2015
NAYARIT,UNIVERSIDAD AUTONOMA DE NAYARIT,420,96,59.785,2015
NUEVO LEON,INSTITUTO TECNOLOGICO Y ESTUDIOS SUPERIORES DE MONTERREY,271,124,68.749,2015
NUEVO LEON,UNIVERSIDAD AUTONOMA DE NUEVO LEON,1079,361,63.543,2015
NUEVO LEON,UNIVERSIDAD DE MONTERREY,309,92,64.058,2015
NUEVO LEON,UNIVERSIDAD MONTEMORELOS,118,32,63.247,2015
OAXACA,UNIVERSIDAD AUTONOMA BENITO JUAREZ DE OAXACA,881,121,57.372,2015
OAXACA,UNIVERSIDAD REGIONAL DEL SURESTE,328,52,57.142,2015
PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,1359,226,57.819,2015
PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA UNIDAD TEHUACAN,95,19,58.926,2015
PUEBLA,INSTITUTO DE ESTUDIOS SUPERIORES DE TEPEACA,25,3,54.462,2015
PUEBLA,UNIVERSIDAD LAS AMERICAS PUEBLA,20,5,62.533,2015
PUEBLA,UNIVERSIDAD POPULAR AUTONOMA DEL ESTADO DE PUEBLA,856,180,60.521,2015
QUERETARO,UNIVERSIDAD AUTONOMA DE QUERETARO,156,57,66.538,2015
QUERETARO,UNIVERSIDAD DEL VALLE DE MEXICO UNIDAD QUERETARO,171,32,61.971,2015
QUINTANA ROO,UNIVERSIDAD DE QUINTANA ROO,33,10,62.316,2015
SAN LUIS POTOSI,UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,224,99,67.502,2015
SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,1087,242,58.084,2015
SONORA,UNIVERSIDAD DE SONORA,205,67,63.562,2015
SONORA,UNIVERSIDAD DEL VALLE DE MEXICO CAMPUS HERMOSILLO,30,3,62.763,2015
TABASCO,UNIVERSIDAD AUTONOMA DE GUADALAJARA UNIDAD TABASCO,28,1,56.635,2015
TABASCO,UNIVERSIDAD DEL VALLE DE MEXICO CAMPUS VILLAHERMOSA,9,0,50.098,2015
TABASCO,UNIVERSIDAD JUAREZ AUTONOMA DE TABASCO,655,91,55.209,2015
TAMAULIPAS,INSTITUTO DE CIENCIAS Y ESTUDIOS SUPERIORES DE TAMAULIPAS,42,5,54.191,2015
TAMAULIPAS,UNIVERSIDAD AUTONOMA DE TAMAULIPAS UNIDAD TAMPICO,289,70,60.717,2015
TAMAULIPAS,UNIVERSIDAD AUTONOMA DE TAMAULIPAS UNIDAD MATAMOROS,291,39,56.06,2015
TAMAULIPAS,UNIVERSIDAD DEL NORESTE,459,62,56.332,2015
TAMAULIPAS,UNIVERSIDAD DEL VALLE DE MEXICO CAMPUS CIUDAD VICTORIA,7,1,55.524,2015
TAMAULIPAS,UNIVERSIDAD LA SALLE CAMPUS CIUDAD VICTORIA,1,1,66,2015
TAMAULIPAS,UNIVERSIDAD MEXICO AMERICANA DEL NORTE,67,6,52.939,2015
TAMAULIPAS,UNIVERSIDAD VALLE DEL BRAVO UNIDAD CIUDAD VICTORIA,162,31,55.302,2015
TAMAULIPAS,UNIVERSIDAD VALLE DEL BRAVO UNIDAD REYNOSA,72,11,57.275,2015
TLAXCALA,UNIVERSIDAD AUTONOMA DE TLAXCALA,353,53,56.621,2015
VERACRUZ,UNIVERSIDAD AUTONOMA DE VERACRUZ VILLA RICA,214,23,58.393,2015
VERACRUZ,UNIVERSIDAD CRISTOBAL COLON UNIDAD VERACRUZ,105,13,56.404,2015
VERACRUZ,UNIVERSIDAD VERACRUZANA UNIDAD CIUDAD MENDOZA,265,46,57.881,2015
VERACRUZ,UNIVERSIDAD VERACRUZANA UNIDAD MINATITLAN,137,40,61.638,2015
VERACRUZ,UNIVERSIDAD VERACRUZANA UNIDAD JALAPA,306,73,62.168,2015
VERACRUZ,UNIVERSIDAD VERACRUZANA UNIDAD POZA RICA,130,19,58.817,2015
VERACRUZ,UNIVERSIDAD VERACRUZANA UNIDAD VERACRUZ,333,56,59.527,2015
YUCATAN,UNIVERSIDAD AUTONOMA DE YUCATAN,265,94,65.057,2015
YUCATAN,UNIVERSIDAD DEL MAYAB,151,37,61.923,2015
ZACATECAS,UNIVERSIDAD AUTONOMA DE ZACATECAS,475,90,60.178,2015
NONE,ESTUDIOS EN EL EXTRANJERO,263,35,57.657,2015
NONE,MEDICOS EXTRANJEROS,932,171,65.538,2015
AGUASCALIENTES,UNIVERSIDAD AUTONOMA DE AGUASCALIENTES,222,80,65.739,2016
AGUASCALIENTES,UNIVERSIDAD CUAHUTEMOC,96,22,62.539,2016
BAJA CALIFORNIA,CENTRO DE ESTUDIOS UNIVERSITARIOS XOCHICALCO UNIDAD ENSENADA,291,61,59.469,2016
BAJA CALIFORNIA,CENTRO DE ESTUDIOS UNIVERSITARIOS XOCHICALCO UNIDAD TIJUANA,126,23,60.113,2016
BAJA CALIFORNIA,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA UNIDAD VALLE DE LAS PALMAS,49,9,60.576,2016
BAJA CALIFORNIA,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA UNIDAD ENSENADA,121,40,64.81,2016
BAJA CALIFORNIA,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA UNIDAD MEXICALI,249,96,66.177,2016
BAJA CALIFORNIA,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA UNIDAD TIJUANA,231,81,65.614,2016
BAJA CALIFORNIA SUR,CENTRO DE ESTUDIOS UNIVERSITARIOS XOCHICALCO UNIDAD MEXICALI,2,0,48.444,2016
CAMPECHE,UNIVERSIDAD AUTONOMA DE CAMPECHE,219,29,59.516,2016
CHIAPAS,INSTITUTO DE ESTUDIOS SUPERIORES DE CHIAPAS,20,3,54.744,2016
CHIAPAS,INSTITUTO DE ESTUDIOS SUPERIORES DE CHIAPAS UNIDAD TAPACHULA,53,6,54.26,2016
CHIAPAS,INSTITUTO DE ESTUDIOS SUPERIORES DE CHIAPAS UNIDAD TUXTLA GUTIERREZ,312,29,55.14,2016
CHIAPAS,UNIVIVERSIDAD AUTONOMA DE CHIAPAS,609,113,62.347,2016
CHIAPAS,UNIVERSIDAD PABLO GUARDADO CHAVEZ,0,0,0,2016
CHIHUAHUA,UNIVERSIDAD AUTONOMA DE CIUDAD JUAREZ,375,92,61.701,2016
CHIHUAHUA,UNIVERSIDAD AUTONOMA DE CHIHUAHUA,279,98,66.419,2016
CIUDAD DE MEXICO,ESCUELA LIBRE DE HOMEOPATIA DE MEXICO,16,1,50.597,2016
CIUDAD DE MEXICO,ESCUELA MEDICO MILITAR SEDENA,3,1,62.148,2016
CIUDAD DE MEXICO,ESCUELA MEDICO NAVAL SECRETARIA DE MARINA ARMADA DE MEXICO,7,4,62.825,2016
CIUDAD DE MEXICO,INSTITUTO POLITECNICO NACIONAL CENTRO INTERDISCIPLINARIO DE CIENCIAS DE LA SALUD,349,51,57.17,2016
